time	best_bid	best_ask
922.092	15.07	15.08
922.191	15.07	15.08
922.292	15.07	15.08
922.491	15.07	15.08
922.59	15.07	15.08
922.792	15.07	15.08
922.992	15.07	15.08
923.093	15.07	15.08
923.192	15.07	15.08
923.29	15.07	15.08
923.394	15.06	15.07
923.494	15.06	15.07
923.593	15.06	15.07
923.693	15.06	15.07
923.792	15.06	15.07
923.892	15.06	15.07
924.093	15.06	15.07
924.192	15.06	15.07
924.593	15.06	15.07
924.693	15.06	15.07
924.793	15.06	15.07
924.894	15.06	15.07
924.994	15.06	15.07
925.091	15.05	15.06
925.193	15.05	15.06
925.294	15.05	15.06
925.394	15.05	15.06
925.493	15.05	15.06
925.592	15.05	15.06
925.693	15.05	15.06
925.894	15.05	15.06
925.993	15.05	15.06
926.093	15.05	15.06
926.194	15.06	15.07
926.294	15.06	15.07
926.394	15.06	15.07
926.494	15.06	15.07
926.692	15.06	15.07
926.893	15.06	15.07
926.993	15.06	15.07
927.093	15.06	15.07
927.194	15.06	15.07
927.293	15.06	15.07
927.394	15.06	15.07
927.492	15.06	15.07
927.591	15.06	15.07
927.695	15.06	15.07
927.894	15.06	15.07
928.094	15.06	15.07
928.294	15.06	15.07
928.494	15.06	15.07
928.594	15.06	15.07
928.694	15.06	15.07
928.995	15.05	15.06
929.095	15.05	15.06
929.195	15.05	15.06
929.297	15.05	15.06
929.396	15.05	15.06
929.496	15.05	15.06
929.595	15.05	15.06
929.695	15.05	15.06
929.795	15.05	15.06
929.894	15.05	15.06
930.094	15.05	15.06
930.194	15.05	15.06
930.494	15.05	15.06
930.896	15.05	15.06
930.997	15.05	15.06
931.095	15.05	15.06
931.197	15.05	15.06
931.297	15.05	15.06
931.398	15.05	15.06
931.497	15.05	15.06
931.597	15.05	15.06
931.698	15.05	15.06
931.798	15.05	15.06
931.897	15.05	15.06
931.998	15.05	15.06
932.097	15.05	15.06
932.196	15.05	15.06
932.695	15.05	15.06
932.796	15.05	15.06
932.896	15.05	15.06
932.997	15.05	15.06
933.098	15.05	15.06
933.198	15.05	15.06
933.297	15.05	15.06
933.396	15.05	15.06
933.596	15.05	15.06
933.697	15.05	15.06
933.798	15.05	15.06
933.896	15.05	15.06
934.297	15.05	15.06
934.399	15.05	15.06
934.498	15.04	15.05
934.597	15.04	15.05
934.697	15.04	15.05
934.797	15.04	15.05
934.897	15.04	15.05
934.998	15.04	15.05
935.198	15.04	15.05
935.298	15.04	15.05
935.397	15.04	15.05
935.499	15.04	15.05
935.597	15.04	15.05
935.697	15.04	15.05
935.797	15.04	15.05
935.897	15.04	15.05
935.997	15.04	15.05
936.098	15.04	15.05
936.497	15.04	15.05
936.598	15.04	15.05
936.898	15.04	15.05
936.999	15.04	15.05
937.099	15.04	15.05
937.199	15.04	15.05
937.399	15.04	15.05
937.499	15.04	15.05
937.698	15.04	15.05
937.799	15.04	15.05
937.899	15.04	15.05
937.998	15.04	15.05
938.099	15.04	15.05
938.198	15.04	15.05
938.299	15.04	15.05
938.398	15.04	15.05
938.498	15.04	15.05
938.899	15.04	15.05
938.999	15.04	15.05
939.199	15.04	15.05
939.4	15.04	15.05
939.499	15.04	15.05
939.7	15.04	15.05
940.099	15.04	15.05
940.199	15.04	15.05
940.4	15.04	15.05
940.5	15.04	15.05
940.6	15.04	15.05
940.7	15.04	15.05
940.801	15.04	15.05
940.9	15.04	15.05
941.1	15.04	15.05
941.2	15.04	15.05
941.7	15.04	15.05
942.002	15.04	15.05
942.101	15.04	15.05
942.206	15.04	15.05
942.301	15.04	15.05
942.501	15.04	15.05
942.602	15.04	15.05
942.7	15.04	15.05
942.899	15.04	15.05
943.001	15.04	15.05
943.102	15.04	15.05
943.302	15.04	15.05
943.404	15.04	15.05
943.5	15.04	15.05
943.601	15.04	15.05
943.702	15.04	15.05
943.8	15.04	15.05
943.901	15.04	15.05
944.002	15.04	15.05
944.403	15.04	15.05
944.502	15.04	15.05
945.003	15.04	15.05
945.201	15.04	15.05
945.302	15.04	15.05
945.702	15.05	15.06
945.804	15.05	15.06
945.903	15.05	15.06
946.004	15.05	15.06
946.103	15.05	15.06
946.303	15.05	15.06
946.403	15.05	15.06
946.602	15.05	15.06
946.902	15.05	15.06
947.302	15.05	15.06
947.504	15.05	15.06
947.903	15.05	15.06
948.004	15.05	15.06
948.204	15.05	15.06
948.503	15.05	15.06
948.604	15.04	15.05
948.705	15.04	15.05
948.804	15.04	15.05
948.904	15.04	15.05
